"Label (Grouping)","Total:","Total:!!Black or African American alone"
"    Estimate","4,294","202"
"Census Tract 1405; Oakland County; Michigan","",""
"    Estimate","2,522","261"
"Census Tract 1406; Oakland County; Michigan","",""
"    Estimate","2,837","562"
"Census Tract 1407; Oakland County; Michigan","",""
"    Estimate","3,760","540"
"Census Tract 1408; Oakland County; Michigan","",""
"    Estimate","4,801","443"
"Census Tract 1409; Oakland County; Michigan","",""
"    Estimate","5,303","2,420"
"Census Tract 1410.01; Oakland County; Michigan","",""
"    Estimate","2,766","997"
"Census Tract 1410.02; Oakland County; Michigan","",""
"    Estimate","2,783","1,466"
"Census Tract 1411; Oakland County; Michigan","",""
"    Estimate","3,095","1,201"
"Census Tract 1412; Oakland County; Michigan","",""
"    Estimate","3,414","848"
"Census Tract 1413; Oakland County; Michigan","",""
"    Estimate","3,349","857"
"Census Tract 1414; Oakland County; Michigan","",""
"    Estimate","5,331","1,199"
"Census Tract 1415; Oakland County; Michigan","",""
"    Estimate","4,405","2,517"
"Census Tract 1416; Oakland County; Michigan","",""
"    Estimate","4,617","2,034"
"Census Tract 1417; Oakland County; Michigan","",""
"    Estimate","3,173","1,770"
"Census Tract 1420; Oakland County; Michigan","",""
"    Estimate","2,498","1,170"
